x_pos,race_local,group,race_display,series,x_prior,x_post,x_obs,x_proc_q25,x_proc_q75,x_total_q25,x_total_q75,x_q25,x_q75
1,R1,Lille Bane,'24-R1,Lille bane 1,0.0,,,-0.02776227935288768,0.02776227935288768,-0.03878646762262732,0.03878646762262732,-0.02776227935288768,0.02776227935288768
2,R2,Lille Bane,'24-R2,Lille bane 1,0.0,,,-0.02776227935288768,0.02776227935288768,-0.034149460506778175,0.034149460506778175,-0.02776227935288768,0.02776227935288768
3,R3,Lille Bane,'24-R3,Lille bane 1,0.0,,,-0.02776227935288768,0.02776227935288768,-0.03281935048856705,0.03281935048856705,-0.02776227935288768,0.02776227935288768
4,R4,Lille Bane,'24-R4,Lille bane 1,0.0,,,-0.02776227935288768,0.02776227935288768,-0.039672103232750736,0.039672103232750736,-0.02776227935288768,0.02776227935288768
5,R5,Lille Bane,'24-R5,Lille bane 1,0.0,,,-0.02776227935288768,0.02776227935288768,-0.0339786195684003,0.0339786195684003,-0.02776227935288768,0.02776227935288768
6,R6,Lille Bane,'24-R6,Lille bane 1,0.0,-0.04238200277170989,-0.14442520048894458,-0.02776227935288768,0.02776227935288768,-0.0512490561800639,0.0512490561800639,-0.02776227935288768,0.02776227935288768
7,R7,Lille Bane,'24-R7,Lille bane 1,-0.04238200277170989,-0.05236480775068627,-0.056326026770202375,-0.06603255022748775,-0.018731455315932045,-0.070333750330732,-0.014430255212687784,-0.06603255022748775,-0.018731455315932045
8,R8,Lille Bane,'24-R8,Lille bane 1,-0.05236480775068627,-0.05795153593512958,-0.062116547625121386,-0.06554362082884987,-0.03918599467252267,-0.06977640373614001,-0.03495321176523253,-0.06554362082884987,-0.03918599467252267
9,R9,Lille Bane,'24-R9,Lille bane 1,-0.05795153593512958,,,-0.06738346972130974,-0.04851960214894944,-0.11605469034720262,0.00015161847694344227,-0.06738346972130974,-0.04851960214894944
10,R10,Lille Bane,'24-R10,Lille bane 1,-0.05795153593512958,,,-0.07128006711647959,-0.044623004753779574,-0.11699603704820025,0.0010929651779410798,-0.07128006711647959,-0.044623004753779574
11,R11,Lille Bane,'24-R11,Lille bane 1,-0.05795153593512958,,,-0.0718234910317664,-0.04407958083849277,-0.11155586973400278,-0.004347202136256383,-0.0718234910317664,-0.04407958083849277
12,R12,Lille Bane,'24-R12,Lille bane 1,-0.05795153593512958,,,-0.07234641464090537,-0.0435566572293538,-0.08833254596813471,-0.027570525902124457,-0.07234641464090537,-0.0435566572293538
13,R13,Lille Bane,'24-R13,Lille bane 1,-0.05795153593512958,,,-0.07285099658660572,-0.04305207528365344,-0.09287965570740571,-0.023023416162853458,-0.07285099658660572,-0.04305207528365344
14,R14,Lille Bane,'24-R14,Lille bane 1,-0.05795153593512958,,,-0.07333904133580368,-0.04256403053445548,-0.0827609919894458,-0.03314207988081337,-0.07333904133580368,-0.04256403053445548
15,R15,Lille Bane,'24-R15,Lille bane 1,-0.05795153593512958,-0.06329701391540969,-0.15019710484191984,-0.0738120755604596,-0.04209099630979957,-0.123838188546887,0.00793511667662783,-0.0738120755604596,-0.04209099630979957
16,R16,Lille Bane,'24-R16,Lille bane 1,-0.06329701391540969,,,-0.07916398642804248,-0.0474300414027769,-0.13407478581228402,0.007480757981464636,-0.07916398642804248,-0.0474300414027769
17,R17,Lille Bane,'24-R17,Lille bane 1,-0.06329701391540969,,,-0.07962313444257516,-0.04697089338824423,-0.11155970764596883,-0.015034320184850555,-0.07962313444257516,-0.04697089338824423
18,R18,Lille Bane,'24-R18,Lille bane 1,-0.06329701391540969,,,-0.07981600586202073,-0.046778021968798655,-0.08193868276393845,-0.044655345066880923,-0.07981600586202073,-0.046778021968798655
19,R1,Lille Bane,'25-R1,Lille bane 1,-0.06329701391540969,-0.07891183952809896,-0.10165181494585522,-0.0902184820912928,-0.03637554573952659,-0.10548997825411273,-0.021104049576706654,-0.0902184820912928,-0.03637554573952659
20,R2,Lille Bane,'25-R2,Lille bane 1,-0.07891183952809896,-0.06796393340961818,0.012162784630972895,-0.0999946228812594,-0.057829056174938526,-0.13971989385658487,-0.018103785199613066,-0.0999946228812594,-0.057829056174938526
21,R3,Lille Bane,'25-R3,Lille bane 1,-0.06796393340961818,,,-0.08810927053782093,-0.047818596281415424,-0.10403777414308116,-0.031890092676155196,-0.08810927053782093,-0.047818596281415424
22,R4,Lille Bane,'25-R4,Lille bane 1,-0.06796393340961818,-0.0739520877931531,-0.07570655338580981,-0.08847285836339946,-0.04745500845583688,-0.09128456850578749,-0.04464329831344886,-0.08847285836339946,-0.04745500845583688
23,R5,Lille Bane,'25-R5,Lille bane 1,-0.0739520877931531,-0.03548689642408398,-0.03157013217889271,-0.0844445767245449,-0.0634595988617613,-0.08496583406341535,-0.06293834152289085,-0.0844445767245449,-0.0634595988617613
24,R6,Lille Bane,'25-R6,Lille bane 1,-0.03548689642408398,-0.030571343319165317,0.02305501899995477,-0.04048246144822078,-0.03049133139994718,-0.05272668296095404,-0.018247109887213918,-0.04048246144822078,-0.03049133139994718
25,R7,Lille Bane,'25-R7,Lille bane 1,-0.030571343319165317,-0.03296137449671328,-0.05580127413153067,-0.03670662059348694,-0.02443606604484369,-0.050505159146648784,-0.010637527491681852,-0.03670662059348694,-0.02443606604484369
26,R8,Lille Bane,'25-R8,Lille bane 1,-0.03296137449671328,-0.02967616755298003,-0.016873127858307704,-0.03995116926387473,-0.02597157972955184,-0.048429490342485615,-0.01749325865094095,-0.03995116926387473,-0.02597157972955184
27,R9,Lille Bane,'25-R9,Lille bane 1,-0.02967616755298003,-0.030785888553025668,-0.04624417716934587,-0.03700160396521988,-0.022350731140740186,-0.057981076981318116,-0.0013712581246419428,-0.03700160396521988,-0.022350731140740186
28,R10,Lille Bane,'25-R10,Lille bane 1,-0.030785888553025668,,,-0.04256536727675914,-0.019006409829292192,-0.056549900959180624,-0.005021876146870715,-0.04256536727675914,-0.019006409829292192
29,R11,Lille Bane,'25-R11,Lille bane 1,-0.030785888553025668,-0.030488419902371895,-0.025515661047422537,-0.04317691408579649,-0.018394863020254844,-0.08294153489455308,0.02136975778850175,-0.04317691408579649,-0.018394863020254844
30,R12,Lille Bane,'25-R12,Lille bane 1,-0.030488419902371895,-0.031919012563861746,-0.07415393050483071,-0.04312379705025442,-0.01785304275448937,-0.10029550191099107,0.039318662106247286,-0.04312379705025442,-0.01785304275448937
31,R13,Lille Bane,'25-R13,Lille bane 1,-0.031919012563861746,,,-0.044926837977897885,-0.018911187149825606,-0.05820743521882042,-0.005630589908903066,-0.044926837977897885,-0.018911187149825606
32,R14,Lille Bane,'25-R14,Lille bane 1,-0.031919012563861746,-0.009365557832745213,-0.0002546432577869989,-0.045483116542854723,-0.018354908584868764,-0.04799101513343937,-0.01584700999428412,-0.045483116542854723,-0.018354908584868764
33,R15,Lille Bane,'25-R15,Lille bane 1,-0.009365557832745213,-0.010864094434210665,-0.01976565873229767,-0.017594780433428846,-0.0011363352320615805,-0.031044790634363273,0.012313674968872847,-0.017594780433428846,-0.0011363352320615805
34,R16,Lille Bane,'25-R16,Lille bane 1,-0.010864094434210665,-0.01571070592985236,-0.020905017717701264,-0.01939309204474851,-0.002335096823672821,-0.02314034412633529,0.0014121552579139593,-0.01939309204474851,-0.002335096823672821
35,R17,Lille Bane,'25-R17,Lille bane 1,-0.01571070592985236,-0.020241040481638065,-0.07096604495135017,-0.02295037392105262,-0.008471037938652101,-0.040994406400639505,0.009572994540934781,-0.02295037392105262,-0.008471037938652101
36,R1,Lille Bane,'26-R1,Lille bane 1,-0.020241040481638065,-0.03613727929194075,-0.3682929454844804,-0.04274301268675559,0.0022609317234794576,-0.1255330470464893,0.08505096608321316,-0.04274301268675559,0.0022609317234794576
